DateTimeStamp,Temp,Sal,DO_obs,ATemp,BP,WSpd,Tide,totpar
2/23/2012 0:00,16.4,23,8.8,16.9,1010,3.6,1.4,NA
2/23/2012 0:15,16.4,22.8,8.8,17.1,1010,3.5,1.43,NA
2/23/2012 0:30,16.4,22.7,8.8,17.1,1010,3.6,1.46,NA
2/23/2012 0:45,16.4,22.9,8.8,17.3,1010,4.2,1.47,NA
2/23/2012 1:00,16.4,22.7,8.7,17.3,1010,3.6,1.49,NA
2/23/2012 1:15,16.4,23.4,8.5,17.5,1010,4.1,1.52,NA
2/23/2012 1:30,16.4,24.5,8.3,17.6,1010,3.6,1.56,NA
2/23/2012 1:45,16.4,24.4,8.2,17.6,1009,4.2,1.59,NA
2/23/2012 2:00,16.4,24.3,7.8,17.3,1009,4,1.62,NA
2/23/2012 2:15,16.4,23,8.5,17,1009,3.6,1.66,NA
2/23/2012 2:30,16.4,21.7,8.7,17.2,1009,3.9,1.68,NA
2/23/2012 2:45,16.4,21.7,8.1,17.2,1009,3.9,1.7,NA
2/23/2012 3:00,16.3,23.2,8.3,17.1,1009,3.7,1.72,NA
2/23/2012 3:15,16.4,21.4,8,17,1009,3.2,1.72,NA
2/23/2012 3:30,16.2,24.6,8.4,17.3,1009,3.6,1.73,NA
2/23/2012 3:45,16.2,24.5,8.4,17.2,1009,3.4,1.74,NA
2/23/2012 4:00,16.2,24.6,8.4,17.1,1009,3.2,1.74,NA
2/23/2012 4:15,16.2,24.8,8.4,17.3,1009,2.9,1.75,NA
2/23/2012 4:30,16.2,24.8,8.4,17.4,1009,2.7,1.74,NA
2/23/2012 4:45,16.2,24.8,8.3,17.8,1009,2.8,1.72,NA
2/23/2012 5:00,16.2,24.9,8.3,18.3,1009,3.3,1.7,NA
2/23/2012 5:15,16.3,25,8.3,18.2,1009,2.7,1.68,NA
2/23/2012 5:30,16.3,24.9,8.2,18.2,1009,3,1.66,NA
2/23/2012 5:45,16.3,24.9,8.1,18.2,1009,2.7,1.62,NA
2/23/2012 6:00,16.3,24.9,8.1,18.1,1009,3.2,1.6,NA
2/23/2012 6:15,16.2,25,7.4,18,1009,3.4,1.57,NA
