DateTimeStamp,Temp,Sal,DO_obs,ATemp,BP,WSpd,Tide
1/11/2019 0:00,0.8,0.1,13.9,-3,1015,9,1.67
1/11/2019 0:15,0.8,0.1,13.9,-3.1,1015,7.7,1.72
1/11/2019 0:30,0.8,0.1,13.9,-3.2,1015,9,1.79
1/11/2019 0:45,0.8,0.1,13.9,-3.2,1015,8.8,1.86
1/11/2019 1:00,0.8,0.1,13.9,-3.2,1016,8.8,1.94
1/11/2019 1:15,0.8,0.1,13.9,-3.3,1016,8.2,2
1/11/2019 1:30,0.7,0.1,13.9,-3.3,1016,6.9,2.06
1/11/2019 1:45,0.7,0.1,13.9,-3.4,1016,7.1,2.11
1/11/2019 2:00,0.7,0.1,13.9,-3.4,1017,7,2.16
1/11/2019 2:15,0.6,0.1,13.9,-3.5,1017,6.5,2.23
1/11/2019 2:30,0.7,0.1,13.9,-3.7,1017,6.1,2.26
1/11/2019 2:45,0.6,0.1,13.9,-3.9,1017,7.9,2.32
1/11/2019 3:00,0.6,0.1,13.9,-4.2,1017,7.9,2.36
1/11/2019 3:15,0.6,0.1,13.9,-4.2,1017,8.3,2.4
1/11/2019 3:30,0.6,0.1,13.9,-4.4,1018,7.3,2.45
1/11/2019 3:45,0.7,0.1,13.9,-4.5,1018,6.4,2.48
1/11/2019 4:00,0.7,0.1,13.9,-4.5,1018,7.6,2.51
1/11/2019 4:15,0.7,0.1,13.9,-4.8,1018,7.5,2.53
1/11/2019 4:30,0.7,0.1,13.9,-4.9,1018,9.1,2.55
1/11/2019 4:45,0.7,0.1,13.9,-5,1019,7.9,2.55
1/11/2019 5:00,0.7,0.1,13.9,-5.2,1019,6.5,2.56
1/11/2019 5:15,0.7,0.1,13.9,-5.5,1019,5.2,2.54
1/11/2019 5:30,0.4,0.1,13.9,-5.6,1020,4.7,2.53
1/11/2019 5:45,0.6,0.1,13.9,-5.8,1020,4.9,2.49
1/11/2019 6:00,0.6,0.1,13.9,-5.7,1020,6.8,2.45
1/11/2019 6:15,0.4,0.1,13.9,-5.7,1020,6,2.41
1/11/2019 6:30,0.6,0.1,13.9,-5.9,1021,4.4,2.35
1/11/2019 6:45,0.6,0.1,13.9,-5.8,1021,4.3,2.29
1/11/2019 7:00,0.7,0.1,13.9,-5.9,1021,2.4,2.24
1/11/2019 7:15,0.6,0.1,13.9,-6,1021,3.5,2.2
